x; y; z; vx; vy; vz; phi; teta; psi; omegaX; omegaY; omegaZ
0.101619;-0.368136;-0.046289;-2.593889;-2.257343;-2.380586;0.025882;1.951525;0.593083;-3.990316;-0.123262;-0.019195
0.101693;-0.384205;-0.065081;-2.583548;-2.269494;-2.366301;0.025882;1.951525;1.028680;-3.972704;-0.123434;-0.010877
0.102282;-0.399137;-0.052044;-2.568645;-2.289001;-2.373756;0.025882;1.951524;1.195063;-3.987773;-0.123287;-0.018760
0.100693;-0.415385;-0.052729;-2.551475;-2.303999;-2.378998;0.025882;1.951524;1.310217;-3.995352;-0.123214;-0.022837
0.100297;-0.432141;-0.052338;-2.538505;-2.313943;-2.383623;0.025882;1.951524;1.450113;-3.997771;-0.123191;-0.023853
0.099870;-0.449386;-0.053331;-2.526175;-2.321784;-2.385839;0.025882;1.951524;1.570385;-4.001834;-0.123151;-0.025728
0.096403;-0.468472;-0.053417;-2.510426;-2.330374;-2.388454;0.025882;1.951524;1.595498;-4.011611;-0.123055;-0.030906
0.091331;-0.496488;-0.054274;-2.500703;-2.343699;-2.391282;0.025882;1.951523;1.707634;-4.007639;-0.123095;-0.028623
0.091447;-0.512923;-0.053054;-2.494650;-2.352429;-2.393406;0.025882;1.951523;1.739613;-4.015286;-0.123020;-0.032771
0.090983;-0.526356;-0.053131;-2.487746;-2.361127;-2.394698;0.025882;1.951523;1.842831;-4.013384;-0.123040;-0.031350
0.088314;-0.538177;-0.056154;-2.477568;-2.374115;-2.392372;0.025882;1.951523;1.972313;-4.012001;-0.123054;-0.030828
0.084741;-0.553015;-0.058800;-2.466754;-2.382386;-2.387993;0.025882;1.951522;2.055043;-4.015263;-0.123022;-0.032758
0.087038;-0.569850;-0.049788;-2.465360;-2.388878;-2.396882;0.025882;1.951522;2.109615;-4.018538;-0.122989;-0.034674
0.085672;-0.583969;-0.053528;-2.457921;-2.399078;-2.399326;0.025882;1.951522;1.929358;-4.038073;-0.122794;-0.043715
0.080565;-0.596802;-0.051941;-2.449260;-2.402289;-2.402638;0.025882;1.951522;1.824065;-4.040476;-0.122771;-0.045315
0.080842;-0.603330;-0.056095;-2.453124;-2.413256;-2.399967;0.025882;1.951521;2.199066;-4.008041;-0.123093;-0.029649
0.082755;-0.613609;-0.075221;-2.451875;-2.419957;-2.369573;0.025882;1.951521;2.663731;-3.990315;-0.123267;-0.019870
0.080787;-0.628722;-0.074737;-2.436541;-2.425370;-2.347551;0.025882;1.951521;2.763960;-4.007112;-0.123101;-0.028818
0.082096;-0.641026;-0.052546;-2.428200;-2.438946;-2.364153;0.025882;1.951521;2.814688;-4.013112;-0.123042;-0.032035
0.085862;-0.651237;-0.053474;-2.424543;-2.450626;-2.375378;0.025882;1.951521;2.714085;-4.027765;-0.122897;-0.039629
0.087643;-0.662050;-0.051749;-2.419765;-2.458217;-2.386689;0.025882;1.951520;2.597828;-4.035747;-0.122818;-0.043458
0.090867;-0.669066;-0.052646;-2.420710;-2.466262;-2.393823;0.025882;1.951520;2.791337;-4.017875;-0.122996;-0.034297
0.098169;-0.680139;-0.054300;-2.424080;-2.468881;-2.397312;0.025882;1.951520;2.875425;-4.021507;-0.122960;-0.036257
0.103681;-0.691203;-0.045311;-2.421083;-2.474765;-2.411554;0.025882;1.951520;3.142574;-4.007194;-0.123102;-0.030260
0.109973;-0.701196;-0.053031;-2.415946;-2.484093;-2.413463;0.025882;1.951520;3.484076;-3.995903;-0.123213;-0.025242
0.114953;-0.712140;-0.052234;-2.404517;-2.494481;-2.416335;0.025882;1.951519;3.771222;-3.993562;-0.123236;-0.024141
0.117842;-0.724400;-0.053636;-2.388490;-2.502870;-2.416739;0.025882;1.951519;4.170138;-3.981678;-0.123351;-0.017368
0.131866;-0.760372;-0.055716;-2.376763;-2.500190;-2.416921;0.025882;1.951519;4.492013;-3.995396;-0.123216;-0.024082
0.142996;-0.781540;-0.054370;-2.362858;-2.519711;-2.417618;0.025882;1.951518;4.754461;-3.994756;-0.123223;-0.022811
0.147851;-0.793452;-0.053702;-2.342020;-2.536623;-2.419216;0.025882;1.951518;4.883073;-4.002458;-0.123147;-0.026712
0.155977;-0.810385;-0.054831;-2.324007;-2.554602;-2.421483;0.025882;1.951518;5.220848;-3.999413;-0.123177;-0.024268
0.160278;-0.820031;-0.054864;-2.303181;-2.570865;-2.421450;0.025882;1.951517;5.829597;-3.971657;-0.123448;-0.008367
0.166026;-0.830820;-0.053747;-2.279521;-2.587438;-2.423994;0.025882;1.951517;6.469179;-3.955917;-0.123599;0.001143
